"","Age","lower99CI","lower95CI","median","upper95CI","upper99CI","sigma","Gradient1"
"1",4.5,11751.8414082567,12468.9921932901,14895.3361093916,17533.2059111978,18404.1214809409,0.0865797849330729,1458.47926224347
"2",4.6,11866.2720490388,12590.5821590766,15041.184035616,17705.4744092943,18585.1213496042,0.0865982114092241,1408.39223986746
"3",4.7,11976.7389551286,12707.969835196,15182.0232596027,17871.8584173257,18759.9477416936,0.0866166418070184,1360.69501907828
"4",4.8,12083.4312759876,12821.3557469966,15318.0927615106,18032.6386780582,18928.8951804258,0.0866350761272905,1315.24307189617
"5",4.9,12186.5267205202,12930.928291586,15449.6170687002,18188.0789570514,19092.2403788471,0.0866535143708753,1271.90211724363
"6",5,12286.1923683443,13036.8645978257,15576.8072804245,18338.4272461922,19250.2435023773,0.0866719565386077,1230.54732490631
"7",5.1,12382.5854180189,13139.3313195029,15699.8620129152,18483.9168737485,19403.1493332953,0.0866904026313228,1191.06258134059
"8",5.2,12475.8538771286,13238.4853668704,15818.9682710492,18624.7675282034,19551.1883447815,0.086708852649856,1153.33981354712
"9",5.3,12566.1371988276,13334.4745814341,15934.3022524039,18761.1862026855,19694.5776916665,0.0867273065950429,1117.27836716218
"10",5.4,12653.566869138,13427.4383585377,16046.0300891201,18893.3680663622,19833.5221245636,0.0867457644677191,1082.78443486957
"11",5.5,12738.2669489871,13517.508221972,16154.3085326071,19021.497268702,19968.2148335805,0.0867642262687205,1049.77053136257
"12",5.6,12820.3545746742,13604.808354516,16259.2855857434,19145.7476820739,20098.8382273455,0.0867826919988831,1018.15501124802
"13",5.7,12899.9404201652,13689.4560880145,16361.1010868682,19266.2835877246,20225.5646526367,0.0868011616590432,987.86162642893
"14",5.8,12977.1291243436,13771.5623563082,16459.8872495111,19383.2603097701,20348.5570594757,0.0868196352500372,958.81911976845
"15",5.9,13052.0196860903,13851.2321140599,16555.7691614879,19496.8248014618,20467.9696161573,0.0868381127727017,930.960852003409
"16",6,13124.7058298261,13928.5647242688,16648.8652466882,19607.116187632,20583.9482783093,0.0868565942278734,904.22445913282
"17",6.1,13195.2763439292,14003.6543170323,16739.2876926015,19714.2662668981,20696.631315737,0.0868750796163893,878.551537696549
"18",6.2,13263.8153942375,14076.5901218935,16827.1428463712,19818.3999768995,20806.1498004889,0.0868935689390865,853.887355565312
"19",6.3,13330.4028146545,14147.4567759184,16912.5315819277,19919.6358255654,20912.6280592863,0.0869120621968022,830.180586081733
"20",6.4,13395.1143767092,14216.3346094617,16995.5496405359,20018.0862911537,21016.1840931927,0.0869305593903741,807.383063531961
"21",6.5,13458.0220397573,14283.2999114107,17076.2879468891,20113.8581935685,21116.9299671528,0.0869490605206396,785.449558142609
"22",6.6,13519.1941833708,14348.4251755481,17154.8329027033,20207.0530392472,21214.9721718049,0.0869675655884368,764.337568920164
"23",6.7,13578.6958233291,14411.7793295294,17231.2666595954,20297.7673417145,21310.4119597667,0.0869860745946035,744.007132821316
"24",6.8,13636.5888125023,14473.4279478459,17305.6673728775,20386.0929197208,21403.3456584047,0.087004587539978,724.420648852247
"25",6.9,13692.932027812,14533.4334500275,17378.1094377627,20472.1171747179,21493.8649609293,0.0870231044253986,705.542715839365
"26",7,13747.7815443487,14591.8552852307,17448.6637093467,20555.9233492792,21582.0571974969,0.0870416252517038,687.339982720805
"27",7.1,13801.1907976398,14648.7501042643,17517.3977076187,20637.5907679331,21668.005587865,0.0870601500197325,669.781010287661
"28",7.2,13853.2107349722,14704.1719200126,17584.3758086475,20717.1950617565,21751.7894770084,0.0870786787303235,652.836143441928
"29",7.3,13903.8899566043,14758.1722571393,17649.6594229917,20794.8083779621,21833.4845549939,0.0870972113843158,636.477393071182
"30",7.4,13953.2748476272,14810.8002918794,17713.3071622988,20870.4995756099,21913.1630622989,0.0871157479825488,620.67832677094
"31",7.5,14001.4097011756,14862.1029826599,17775.3749949759,20944.334408482,21990.8939816617,0.0871342885258619,605.413967659006
"32",7.6,14048.3368336306,14912.1251922314,17835.9163917418,21016.3756960709,22066.7432174637,0.0871528330150947,590.660700644403
"33",7.7,14094.0966924019,14960.909801933,17894.9824618062,21086.6834835576,22140.7737635602,0.087171381451087,576.396185535305
"34",7.8,14138.7279568332,15008.4978186664,17952.6220803598,21155.3151915819,22213.0458604027,0.0871899338346787,562.599276430083
"35",7.9,14182.2676327265,15054.9284751062,18008.8820080028,21222.3257565437,22283.6171422275,0.0872084901667101,549.249946902492
"36",8,14224.7511409453,15100.239323632,18063.807002693,21287.7677621159,22352.5427750245,0.0872270504480215,536.329220508596
"37",8.1,14266.2124005169,15144.4663244293,18117.4399247439,21351.6915625935,22419.8755859416,0.0872456146794533,523.819106194132
"38",8.2,14306.683906622,15187.6439281704,18169.8218353633,21414.1453986546,22485.6661847287,0.0872641828618463,511.702538235404
"39",8.3,14346.1968038305,15229.8051536559,18220.9920891868,21475.1755060668,22549.9630777804,0.0872827549960414,499.963320334828
"40",8.4,14384.7809549133,15270.9816607647,18270.9884212203,21534.8262178253,22612.8127752891,0.0873013310828794,488.586073579063
"41",8.5,14422.4650055337,15311.2038190379,18319.8470285782,21593.1400601786,22674.2598919839,0.0873199111232018,477.556187934824
"42",8.6,14459.2764451007,15350.5007721922,18367.6026473717,21650.1578429548,22734.3472418924,0.08733849511785,466.859777041027
"43",8.7,14495.2416640438,15388.9004988402,18414.2886250758,21705.9187445787,22793.1159275311,0.0873570830676654,456.483636029334
"44",8.8,14530.386007749,15426.4298696712,18459.9369886788,21760.4603921325,22850.6054238968,0.0873756749734899,446.41520214991
"45",8.9,14564.7338273791,15463.1147013286,18504.5785088937,21813.8189367918,22906.8536576063,0.0873942708361654,436.642518004701
"46",9,14598.3085277835,15498.9798072017,18548.2427606942,21866.0291249419,22961.8970815045,0.087412870656534,427.154197178061
"47",9.1,14631.1326126877,15534.0490453343,18590.958180412,21917.1243652572,23015.7707450366,0.087431474435438,417.939392108892
"48",9.2,14663.2277273401,15568.3453636366,18632.7521196229,21967.1367920054,23068.5083606611,0.08745008217372,408.987764022713
"49",9.3,14694.6146987792,15601.8908425753,18673.6508960252,22016.0973248202,23120.1423665568,0.0874686938722225,400.289454790764
"50",9.4,14725.3135738733,15634.7067355016,18713.6798415043,22064.0357251679,23170.7039858618,0.0874873095317885,391.835060568155
"51",9.5,14755.3436552736,15666.8135067676,18752.8633475611,22110.9806497169,23220.2232826635,0.0875059291532609,383.615607089523
"52",9.6,14784.7235354125,15698.2308677696,18791.22490827,22156.9597008048,23268.7292149441,0.0875245527374829,375.622526506522
"53",9.7,14813.4711286682,15728.9778110482,18828.7871609207,22201.9994741852,23316.2496846708,0.087543180285298,367.847635650069
"54",9.8,14841.6037018091,15759.0726425647,18865.5719244857,22246.12560422,23362.8115852078,0.0875618117975496,360.283115638485
"55",9.9,14869.1379028246,15788.5330122653,18901.6002360495,22289.3628066767,23408.4408462146,0.0875804472750815,352.921492710557
"56",10,14896.0897882379,15817.3759430389,18936.8923853206,22331.7349192731,23453.1624761821,0.0875990867187376,345.755620229138
"57",10.1,14922.4748489959,15845.6178581631,18971.4679473435,22373.2649401092,23497.0006027508,0.0876177301293621,338.778661756987
"58",10.2,14948.308035018,15873.2746073312,19005.3458135192,22413.9750641095,23539.9785109429,0.0876363775077992,331.984075131477
"59",10.3,14973.6037784865,15900.3614913432,19038.5442210323,22453.8867175952,23582.118679432,0.0876550288548933,325.365597492964
"60",10.4,14998.37601595,15926.8932855395,19071.0807807816,22493.0205910973,23623.4428149678,0.087673684171489,318.917231173
"61",10.5,15022.6382093113,15952.8842620516,19102.9725038989,22531.396670512,23663.9718850604,0.0876923434584314,312.633230414976
"62",10.6,15046.403365764,15978.3482109379,19134.2358269404,22569.0342666957,23703.7261490297,0.0877110067165652,306.50808884704
"63",10.7,15069.6840567374,16003.2984602691,19164.8866358251,22605.9520435889,23742.7251875092,0.0877296739467356,300.536527681579
"64",10.8,15092.4924359077,16027.7478952226,19194.9402885933,22642.168044953,23780.9879304965,0.0877483451497881,294.713484579697
"65",10.9,15114.8402563281,16051.7089762436,19224.4116370513,22677.6997197995,23818.532684031,0.0877670203265682,289.034103136946
"66",11,15136.7388867259,16075.1937563229,19253.315047365,22712.5639465842,23855.3771555756,0.0877856994779216,283.493722969833
"67",11.1,15158.1993270164,16098.2138974441,19281.664419662,22746.7770562356,23891.5384781769,0.087804382604694,278.087870337004
"68",11.2,15179.2322230732,16120.7806862426,19309.4732066957,22780.3548540828,23927.0332334689,0.0878230697077318,272.81224928578
"69",11.3,15199.8478807986,16142.9050489229,19336.7544316242,22813.3126407426,23961.8774735864,0.0878417607878811,267.662733283178
"70",11.4,15220.0562795314,16164.5975654731,19363.5207049525,22845.6652320235,23996.0867420462,0.0878604558459883,262.635357291001
"71",11.5,15239.8670848276,16185.8684832146,19389.7842406816,22877.4269778984,24029.6760936517,0.0878791548829,257.72631028045
"72",11.6,15259.2896606485,16206.7277297237,19415.5568717097,22908.6117805988,24062.6601134752,0.0878978578994631,252.931928136131
"73",11.7,15278.3330809877,16227.1849251578,19440.8500645233,22939.2331118742,24095.0529349652,0.0879165648965245,248.248686943334
"74",11.8,15297.0061409658,16247.2493940188,19465.6749332176,22969.3040294636,24126.8682572269,0.0879352758749314,243.673196624004
"75",11.9,15315.3173674229,16266.9301763817,19490.04225288,22998.8371928194,24158.1193615177,0.0879539908355311,239.202194909958
"76",12,15333.2750290328,16286.2360386183,19513.962472371,23027.8448781227,24188.8191270004,0.0879727097791712,234.832541626929
"77",12.1,15350.8871459657,16305.1754836411,19537.4457265337,23056.3389926276,24218.9800457917,0.0879914327066992,230.561213268957
"78",12.2,15368.1614991212,16323.7567606917,19560.5018478606,23084.3310883678,24248.6142373422,0.0880101596189632,226.38529786389
"79",12.3,15385.1056389546,16341.9878746986,19583.140377647,23111.8323752602,24277.7334621827,0.0880288905168111,222.301990078886
"80",12.4,15401.7268939166,16359.8765952246,19605.3705766549,23138.8537336332,24306.3491350689,0.0880476254010912,218.308586598359
"81",12.5,15418.0323785266,16377.430465026,19627.2014353147,23165.4057262125,24334.4723375548,0.088066364272652,214.402481708566
