"","Age","lower99CI","lower95CI","median","upper95CI","upper99CI","sigma","Gradient1"
"1",4.5,439209.786134937,463355.925940949,542041.715186859,622866.700358478,648590.019658285,0.0748411950270491,35052.397400809
"2",4.6,442055.442160198,466356.491023939,545546.95492694,626890.213886065,652778.466302637,0.0748372263482032,32239.6275817323
"3",4.7,444673.246460638,469116.659868334,548770.917685113,630590.456869104,656630.277406779,0.0748332578798084,29628.9135376888
"4",4.8,447079.563607709,471653.698914012,551733.809038882,633990.654102145,660169.638677649,0.0748292896218536,27204.9367461435
"5",4.9,449289.517672193,473983.565691696,554454.302713496,637112.269506679,663418.902059375,0.0748253215743276,24953.5605233384
"6",5,451317.087917056,476121.009796555,556949.65876583,639975.141994755,666398.727223792,0.0748213537372191,22861.7492467281
"7",5.1,453175.197951563,478079.666961726,559235.833690503,642597.612045,669128.213388314,0.0748173861105172,20917.4895006267
"8",5.2,454875.798501912,479872.146395724,561327.582640566,644996.639212504,671625.021691889,0.0748134186942105,19109.7142241336
"9",5.3,456429.944041158,481510.11163997,563238.554062979,647187.910917993,673905.488488825,0.074809451488288,17428.2305479608
"10",5.4,457847.863576824,483004.355261422,564981.377117775,649185.94294057,675984.730002451,0.0748054844927385,15863.6517205846
"11",5.5,459139.025927103,484364.867729499,566567.742289834,651004.172084332,677876.738828385,0.0748015177075508,14407.3333150102
"12",5.6,460312.199832069,485600.900842904,568008.475621335,652655.041511086,679594.472800105,0.0747975511327138,13051.3137572294
"13",5.7,461375.509249694,486721.026075473,569313.606997058,654150.079236093,681149.936734347,0.0747935847682164,11788.2591133949
"14",5.8,462336.484181383,487733.188204831,570492.432908397,655499.970276516,682554.257566313,0.0747896186140473,10611.4119995979
"15",5.9,463202.107360763,488644.754576005,571553.574108357,656714.622926561,683817.753368312,0.0747856526701954,9514.54443187802
"16",6,463978.857124691,489462.560336599,572505.028551545,657803.229612338,684949.996723669,0.0747816869366496,8491.9144047203
"17",6.1,464672.746768326,490192.94996205,573354.219992017,658774.322755088,685959.872902282,0.0747777214133987,7538.2259706466
"18",6.2,465289.360667731,490841.815370057,574108.042589081,659635.826045322,686855.633257064,0.0747737561004316,6648.59258773853
"19",6.3,465833.887434554,491414.630903371,574772.901847855,660395.101503526,687644.944232496,0.0747697909977371,5818.50350298337
"20",6.4,466311.150348607,491916.485440313,575354.752198154,661058.99267649,688334.932348791,0.074765826105304,5043.79294435261
"21",6.5,466725.635295733,492352.111872969,575859.131492589,661633.864292122,688932.225497924,0.0747618614231213,4320.61190430308
"22",6.6,467081.516420792,492725.914174474,576291.192683019,662125.638670687,689442.990861789,0.0747578969511778,3645.4023077758
"23",6.7,467382.679688837,493041.992259114,576655.732913797,662539.82916658,689872.969737965,0.0747539326894622,3014.87336947932
"24",6.8,467632.744531735,493304.164822268,576957.220250745,662881.570892312,690227.509535179,0.0747499686379635,2425.97995921504
"25",6.9,467835.08374283,493515.990331794,577199.818246666,663155.648955563,690511.593178881,0.0747460047966706,1875.90280492674
"26",7,467992.841768465,493680.786327832,577387.408527159,663366.52442054,690729.866146932,0.0747420411655722,1362.03037753818
