"","Age","lower99CI","lower95CI","median","upper95CI","upper99CI","sigma","Gradient1"
"1",4.5,3172.62703619188,3919.66127079326,7875.13827724258,16472.2549261099,20956.1383692076,0.365587646476753,1044.03408090127
"2",4.6,3213.19067686693,3970.19403675767,7979.54168533271,16697.3658613725,21245.4251556874,0.36578144242053,1022.5441646961
"3",4.7,3252.91467026208,4019.68200624865,8081.79610180232,16917.8703665186,21528.8052206684,0.36596708799358,1001.47373946018
"4",4.8,3291.81542227328,4068.14559959392,8181.94347574834,17133.8578876182,21806.3929543958,0.366145086747736,980.816243063618
"5",4.9,3329.90908560439,4115.60491999809,8280.0251000547,17345.416493197,22078.301004195,0.366315901592574,960.56505265562
"6",5,3367.21155677952,4162.07975012358,8376.08160532026,17552.6328594318,22344.640253573,0.366479958814501,940.713504550222
"7",5.1,3403.73847402359,4207.58954971134,8470.15295577528,17755.5922597292,22605.5198071276,0.366637651628172,921.254911903634
"8",5.2,3439.50521591197,4252.15345412366,8562.27844696565,17954.3785582105,22861.0469806282,0.366789343322529,902.182580428289
"9",5.3,3474.52690070007,4295.79027370305,8652.49670500848,18149.0742066676,23111.3272956938,0.366935370054421,883.489822351312
"10",5.4,3508.81838625442,4338.51849385402,8740.84568724361,18339.760244606,23356.4644785585,0.367076043335024,865.169968737828
"11",5.5,3542.39427051437,4380.35627576287,8827.36268411739,18526.5163020226,23596.5604624596,0.367211652247769,847.216380430582
"12",5.6,3575.2688924218,4421.32145768067,8912.08432216045,18709.4206046073,23831.7153932366,0.367342465430983,829.622457658461
"13",5.7,3607.45633326239,4461.43155670213,8995.04656792629,18888.5499810859,24062.0276377678,0.36746873285388,812.381648537194
"14",5.8,3638.9704183685,4500.70377097973,9076.28473278001,19063.9798724497,24287.5937949107,0.367590687410589,795.487456464743
"15",5.9,3669.82471913826,4539.15498231922,9155.83347842649,19235.7843428444,24508.508708642,0.367708546353598,778.933446646752
"16",6,3700.03255533109,4576.80175910814,9233.72682309116,19404.0360919119,24724.8654831314,0.36782251258519,762.713251732657
"17",6.1,3729.60699760332,4613.66035953372,9309.99814826443,19568.8064684017,24936.7554995016,0.36793277582301,746.820576708487
"18",6.2,3758.56087025159,4649.74673505114,9384.68020593528,19730.1654848832,25144.2684340563,0.368039513653838,731.249203121315
"19",6.3,3786.90675413521,4685.07653406746,9457.80512624741,19888.1818334111,25347.4922777796,0.368142892487898,715.99299266667
"20",6.4,3814.65698975154,4719.66510580955,9529.40442551408,20042.9229020074,25546.513356929,0.36824306842447,701.045890242003
"21",6.5,3841.82368044107,4753.52750434793,9599.50901453828,20194.4547918404,25741.4163545616,0.368340188038284,686.4019264954
"22",6.6,3868.41869570129,4786.67849275151,9668.14920718782,20342.8423349895,25932.2843328515,0.368434389095028,672.055219941831
"23",6.7,3894.45367459101,4819.13254735017,9735.354729182,20488.1491126998,26119.1987560673,0.368525801203305,657.99997865648
"24",6.8,3919.94002920789,4850.90386208529,9801.15472704765,20630.4374740362,26302.2395140954,0.368614546409543,644.230501637176
"25",6.9,3944.8889482247,4882.0063529298,9865.57777721137,20769.7685548602,26481.4849464031,0.36870073974158,630.741179817687
