"","Age","lower99CI","lower95CI","median","upper95CI","upper99CI","sigma","Gradient1"
"1",4.5,286024.350119371,303830.45484033,365777.564714385,436185.614913091,460142.589562271,0.0920993274505846,17502.8613470634
"2",4.6,287392.876230681,305284.212255677,367527.850849091,438272.94697378,462344.607810753,0.09209949328665,17020.2397224883
"3",4.7,288723.656020187,306697.875402223,369229.87482134,440302.734261294,464485.922970202,0.0920996664923393,16559.9027490197
"4",4.8,290018.431905631,308073.295212259,370885.865096242,442277.634357855,466569.33863774,0.0920998472278971,16120.4120778822
"5",4.9,291278.833830242,309412.203141871,372497.90630403,444200.133325276,468597.477469846,0.0921000356535712,15700.447594272
"6",5,292506.388508262,310716.220992015,374067.951063457,446072.55980415,470572.796055913,0.0921002319296124,15298.795674977
"7",5.1,293702.527752256,311986.86975422,375597.830630955,447897.097712789,472497.598314639,0.0921004362162751,14914.3388062116
"8",5.2,294868.595988563,313225.577593885,377089.264511576,449675.797708103,474374.047584361,0.0921006486738169,14546.0463826341
"9",5.3,296005.857053271,314433.687069314,378543.869149839,451410.587549281,476204.17755593,0.0921008694624992,14192.9665343865
"10",5.4,297115.500349078,315612.461671859,379963.165803278,453103.281486858,477989.902177449,0.0921010987425872,13854.2188515048
"11",5.5,298198.646433239,316763.091761718,381348.587688429,454755.58878418,479733.024643756,0.0921013366743499,13528.9878935274
"12",5.6,299256.352097975,317886.699964612,382701.486477781,456369.121464903,481435.24556943,0.0921015834180604,13216.5173876035
"13",5.7,300289.614997193,318984.346086526,384023.138216542,457945.401368618,483098.170431924,0.092101839133996,12916.1050319689
"14",5.8,301299.377866864,320057.031596811,385314.748719739,459485.866586821,484723.316361017,0.0921021039824385,12627.0978329453
"15",5.9,302286.532380761,321105.703723948,386577.458503033,460991.877342804,486312.118341636,0.0921023781236741,12348.8879127667
"16",6,303251.92267838,322131.259203088,387812.34729431,462464.721371647,487865.934889333,0.0921026617179936,12080.9087341477
"17",6.1,304196.348597638,323134.547709992,389020.438167724,463905.618849999,489386.053250815,0.0921029549256929,11822.6316943864
"18",6.2,305120.568641246,324116.375012061,390202.701337163,465315.726919703,490873.694176021,0.0921032579070728,11573.5630475881
"19",6.3,306025.302702398,325077.505863707,391360.057641922,466696.143844414,492330.016303023,0.0921035708224391,11333.2411191735
"20",6.4,306911.234572652,326018.666670354,392493.381753839,468047.912834041,493756.12019252,0.0921038938321033,11101.2337807677
"21",6.5,307779.014252353,326940.547942685,393603.505131916,469372.025568077,495153.052044675,0.0921042270963822,10877.1361578273
"22",6.6,308629.260081802,327843.806560479,394691.218747699,470669.425445571,496521.807127579,0.0921045707755984,10660.5685453914
"23",6.7,309462.560709432,328729.067863316,395757.275602238,471941.010586553,497863.332943525,0.0921049250300802,10451.17451058
"24",6.8,310279.476911625,329596.927583668,396802.393053296,473187.636607183,499178.532156568,0.0921052900201624,10248.6191624909
"25",6.9,311080.543277221,330447.953636283,397827.254969545,474410.119188598,500468.265302462,0.0921056659061855,10052.5875727978
"26",7,311866.269768534,331282.687776366,398832.513726825,475609.236457405,501733.353299894,0.0921060528484969,9862.78333192226
"27",7.1,312637.143169465,332101.647137849,399818.792060017,476785.731194019,502974.579780103,0.0921064510074504,9678.92722775287
"28",7.2,313393.628430289,332905.325661884,400786.684782792,477940.312883411,504192.693250268,0.0921068605434067,9500.75603454316
"29",7.3,314136.16991774,333694.195424751,401736.760386247,479073.659621464,505388.409104556,0.0921072816167336,9328.02140194399
"30",7.4,314865.192578225,334468.707873484,402669.562526441,480186.419888833,506562.411495407,0.092107714387806,9160.48883447656
"31",7.5,315581.103021236,335229.294976727,403585.611409889,481279.214203112,507715.355076449,0.0921081590170062,8997.9367531999
"32",7.6,316284.290529379,335976.370297635,404485.405085209,482352.636659104,508847.86662735,0.0921086156647242,8840.15563162044
"33",7.7,316975.128000843,336710.329995016,405369.420648371,483407.256366052,509960.546569993,0.0921090844913579,8686.94719963125
"34",7.8,317653.972829616,337431.553758343,406238.115368334,484443.618789945,511053.970384501,0.0921095656573133,8538.12370899366
"35",7.9,318321.167728267,338140.405681748,407091.927739233,485462.247008225,512128.689932854,0.0921100593230044,8393.50725511729
"36",8,318977.041497687,338837.235081686,407931.278464745,486463.642883628,513185.2346972,0.0921105656488538,8252.92915003141
"37",8.1,319621.909747802,339522.377262513,408756.571379748,487448.288163243,514224.112939276,0.092111084795293,8116.22934217856
"38",8.2,320256.075572918,340196.154233868,409568.194313966,488416.645508387,515245.812786845,0.0921116169227622,7983.25587930216
"39",8.3,320879.83018506,340858.875383442,410366.519901896,489369.159460435,516250.80325257,0.0921121621917108,7853.86441020353
"40",8.4,321493.453508357,341510.838108363,411151.906342916,490306.257347228,517239.535190205,0.0921127207625976,7727.91772274824
"41",8.5,322097.214737292,342152.328408194,411924.698115191,491228.350134387,518212.442192666,0.0921132927958909,7605.28531461954
"42",8.6,322691.372861396,342783.621442293,412685.226646653,492135.833225455,519169.941436112,0.0921138784520691,7485.8429945301
"43",8.7,323276.177158746,343404.982054031,413433.810946106,493029.087214465,520112.43447385,0.0921144778916203,7369.47251115867
"44",8.8,323851.86766046,344016.665264203,414170.758197222,493908.478594272,521040.307983569,0.0921150912750431,7256.06120770506
"45",8.9,324418.67558817,344618.916735728,414896.364317993,494774.360423691,521953.934471117,0.0921157187628469,7145.50170013623
"46",9,324976.823766338,345211.973211641,415610.914488006,495627.072956255,522853.67293379,0.0921163605155513,7037.69157694362
"47",9.1,325526.527011094,345796.062928132,416314.683645701,496466.944233189,523739.869485877,0.0921170166936876,6932.53311929177
"48",9.2,326067.992497191,346371.40600434,417007.93695763,497294.290642992,524612.857948969,0.0921176874577979,6829.93303938652
"49",9.3,326601.420104499,346938.214810422,417690.930261568,498109.41744983,525472.960409378,0.0921183729684361,6729.80223603838
"50",9.4,327127.002745388,347496.694315316,418363.910485172,498912.619292788,526320.487744803,0.0921190733861678,6632.05556624802
"51",9.5,327644.926674247,348047.042415521,419027.116041797,499704.180657865,527155.740122251,0.0921197888715708,6536.61163125362
"52",9.6,328155.37178027,348589.450246118,419680.777204922,500484.376324464,527979.007469051,0.0921205195852349,6443.39257600717
"53",9.7,328658.511864576,349124.102475131,420325.116462523,501253.47178799,528790.569918652,0.0921212656877628,6352.32390181569
"54",9.8,329154.514902654,349651.177582316,420960.348852705,502011.723660067,529590.698232828,0.0921220273397701,6263.33429001737
"55",9.9,329643.543293039,350170.848123318,421586.682281706,502759.380047756,530379.654201726,0.0921228047018851,6176.35543682089
"56",10,330125.754093073,350683.280980101,422204.317825389,503496.680913082,531157.691023127,0.0921235979347499,6091.32189838332
"57",10.1,330601.299242534,351188.637598505,422813.450015227,504223.858414059,531925.053662213,0.0921244071990201,6008.17094487371
"58",10.2,331070.325775875,351687.07421369,423414.267109714,504941.137228339,532681.979192981,0.0921252326553652,5926.84242353949
"59",10.3,331532.976023739,352178.742064205,424006.951352068,505648.734860524,533428.697122437,0.0921260744644691,5847.27862990636
"60",10.4,331989.387804415,352663.787595346,424591.679215059,506346.861934111,534165.429698577,0.0921269327870301,5769.42418642167
"61",10.5,332439.694605789,353142.352652454,425168.621633701,507035.722468974,534892.392203106,0.0921278077837612,5693.22592822835
"62",10.6,332884.025758377,353614.574664702,425737.944226524,507715.514145227,535609.793229787,0.0921286996153906,5618.632795515
"63",10.7,333322.506599937,354080.586819961,426299.807506075,508386.428554236,536317.834949253,0.092129608442662,5545.59573216189
"64",10.8,333755.258632146,354540.518231228,426854.367079292,509048.651437564,537016.713361055,0.0921305344263344,5474.06758974364
"65",10.9,334182.399669782,354994.4940951,427401.773838266,509702.36291445,537706.618533656,0.0921314777271831,5404.00303752394
"66",11,334604.043982866,355442.635842755,427942.174142018,510347.737698574,538387.734833081,0.0921324385059996,5335.35847689491
"67",11.1,335020.302432102,355885.061283831,428475.709989708,510984.945304594,539060.241140811,0.0921334169235919,5268.0919607979
"68",11.2,335431.282598036,356321.884743617,429002.519185788,511614.150245105,539724.311061552,0.0921344131407849,5202.16311772936
"69",11.3,335837.088904248,356753.217193922,429522.735497561,512235.512218505,540380.11312142,0.0921354273184207,5137.53307933104
"70",11.4,336237.822734908,357179.166377943,430036.488805494,512849.186288253,541027.810957045,0.0921364596173589,5074.16441262525
"71",11.5,336633.582547009,357599.836929486,430543.905246756,513455.323054025,541667.563496123,0.0921375101984769,5012.02105505276
"72",11.6,337024.463977539,358015.330486809,431045.107352261,514054.068815138,542299.525129822,0.0921385792226702,4951.06825371622
"73",11.7,337410.559945888,358425.745801403,431540.214177633,514645.565726719,542923.845877522,0.0921396668508529,4891.27250718127
"74",11.8,337791.960751715,358831.178841951,432029.341428351,515229.951948943,543540.671544248,0.0921407732439576,4832.60151070834
"75",11.9,338168.754168525,359231.722893734,432512.601579422,515807.361789736,544150.143871217,0.0921418985629363,4775.0241042237
"76",12,338541.025533178,359627.468653703,432990.103989844,516377.92584126,544752.400679812,0.0921430429687601,4718.5102227109
"77",12.1,338908.857831525,360018.504321455,433461.955012115,516941.771110516,545347.576009359,0.0921442066224203,4663.03084958286
"78",12.2,339272.331780389,360404.915686307,433928.258097074,517499.021144345,545935.800248999,0.0921453896849278,4608.55797189754
"79",12.3,339631.525906054,360786.786210684,434389.113894264,518049.796149131,546517.20026395,0.0921465923173144,4555.06453829934
"80",12.4,339986.516619451,361164.197109971,434844.620348093,518594.213105442,547091.899516464,0.0921478146806321,4502.52441850549
"81",12.5,340337.378288194,361537.227429043,435294.872789944,519132.385877889,547660.018181704,0.0921490569359546,4450.91236546345
"82",12.6,340684.183305641,361905.954115617,435739.96402649,519664.42532043,548221.673258835,0.0921503192443767,4400.20397858694
"83",12.7,341027.002157089,362270.452090576,436179.984424349,520190.439377321,548776.97867752,0.0921516017670151,4350.37566946878
"84",12.8,341365.903483285,362630.794315426,436615.021991296,520710.533179956,549326.045400083,0.0921529046650088,4301.40462882933
"85",12.9,341700.954141352,362987.051857017,437045.162454179,521224.809139781,549868.981519515,0.0921542280995189,4253.26879509899
"86",13,342032.21926326,363339.293949654,437470.489333689,521733.367037453,550405.892353538,0.0921555722317298,4205.94682463154
"87",13.1,342359.762311968,363687.588054731,437891.084016152,522236.30410845,550936.880534914,0.092156937222849,4159.41806317482
"88",13.2,342683.645135333,364031.999918002,438307.025822469,522733.715125283,551462.046098172,0.0921583232341074,4113.66251886124
"89",13.3,343003.928017903,364372.593624588,438718.392074356,523225.692476474,551981.486562917,0.0921597304267602,4068.66083605506
"90",13.4,343320.66973068,364709.431651847,439125.258157961,523712.326242432,552495.297013889,0.0921611589620865,4024.39427101053
"91",13.5,343633.927578962,365042.574920184,439527.697585062,524193.704268413,553003.57017791,0.0921626090013906,3980.84466796368
"92",13.6,343943.757448323,365372.082841906,439925.782051858,524669.912234642,553506.39649787,0.0921640807060013,3937.9944369517
"93",13.7,344250.213848861,365698.013368209,440319.581495554,525141.03372377,554003.864203885,0.0921655742372733,3895.82653207763
"94",13.8,344553.349957743,366020.423034385,440709.164148761,525607.150285765,554496.059381751,0.0921670897565869,3854.32443112251
"95",13.9,344853.217660157,366339.36700331,441094.596591874,526068.341500351,554983.066038809,0.0921686274253487,3813.47211599175
"96",14,345149.867588728,366654.899107326,441475.943803473,526524.685037115,555464.966167363,0.0921701874049919,3773.25405374926
"97",14.1,345443.349161471,366967.071888546,441853.269208848,526976.256713381,555941.839805717,0.0921717698569764,3733.65517893166
"98",14.2,345733.710618334,367275.936637678,442226.634726741,527423.130549936,556413.765096974,0.09217337494279,3694.66087629495
"99",14.3,346020.999056411,367581.543431425,442596.10081437,527865.378824721,556880.81834567,0.0921750028239477,3656.25696444302
"100",14.4,346305.260463869,367883.941168527,442961.726510815,528303.072124566,557343.074072349,0.0921766536619931,3618.42968003883
"101",14.5,346586.539752642,368183.177604489,443323.569478819,528736.279395046,557800.605066159,0.0921783276184981,3581.16566296841
"102",14.6,346864.880789957,368479.299385067,443681.686045115,529165.067988553,558253.482435565,0.0921800248550637,3544.45194173139
"103",14.7,347140.32642873,368772.35207856,444036.131239289,529589.503710646,558701.775657239,0.0921817455333202,3508.27591978305
"104",14.8,347412.918536887,369062.380206951,444386.958831267,530009.650864758,559145.55262323,0.0921834898149276,3472.62536232185
"105",14.9,347682.698025649,369349.427275957,444734.221367499,530425.572295331,559584.87968646,0.0921852578615762,3437.48838359024
"106",15,347949.704876829,369633.535804021,445077.970205858,530837.329429437,560019.821704635,0.092187049834987,3402.85343467956
"107",15.1,348213.978169179,369914.747350302,445418.255549326,531244.982316953,560450.442082623,0.0921888658969117,3368.7092920579
"108",15.2,348475.556103827,370193.102541693,445755.126478532,531648.58966935,560876.802813378,0.0921907062091338,3335.0450462132
"109",15.3,348734.476028841,370468.641098911,446088.630983153,532048.208897143,561298.964517439,0.0921925709334683,3301.85009104724
"110",15.4,348990.77446295,370741.401861704,446418.815992258,532443.896146073,561716.986481107,0.0921944602317628,3269.11411356996
"111",15.5,349244.487118469,371011.422813191,446745.727403615,532835.706332051,562130.926693302,0.0921963742658974,3236.8270840036
"112",15.6,349495.64892345,371278.741103399,447069.410112015,533223.69317494,562540.8418812,0.0921983131977854,3204.97924632858
"113",15.7,349744.294043081,371543.39307199,447389.908036648,533607.909231186,562946.787544662,0.0922002771893738,3173.56110913504
"114",15.8,349990.45590039,371805.414270259,447707.264147562,533988.405925386,563348.817989527,0.0922022664026434,3142.56343691552
"115",15.9,350234.167196254,372064.839482376,448021.520491253,534365.23358079,563746.986359796,0.0922042809996096,3111.97724168131
"116",16,350475.459928744,372321.702745953,448332.718215421,534738.441448817,564141.344668761,0.0922063211423225,3081.79377472028
"117",16.1,350714.365411858,372576.037371925,448640.897592893,535108.077737597,564531.943829122,0.0922083869928679,3052.00451904675
"118",16.2,350950.914293626,372827.875963794,448946.098044798,535474.18963959,564918.833682121,0.0922104787133671,3022.60118176637
"119",16.3,351185.136573643,373077.250436245,449248.358162975,535836.823358316,565302.063025733,0.0922125964659777,2993.57568695676
