"","Age","lower99CI","lower95CI","median","upper95CI","upper99CI","sigma","Gradient1"
"1",4.5,95649.1951226437,101870.230573472,121981.305624324,142317.713473371,148715.388998364,0.0841260120012253,10004.7929040345
"2",4.6,96433.6622592159,102705.730998695,122981.784914727,143485.020523521,149935.17873399,0.0841261347390298,9426.77055212247
"3",4.7,97172.80260935,103492.957265913,123924.46196994,144584.890529014,151084.500387228,0.0841262629311606,8889.04623902752
"4",4.8,97869.7760385234,104235.274765886,124813.366593842,145622.025151467,152168.266980889,0.0841263966962115,8388.35027836205
"5",4.9,98527.4860248332,104935.775826964,125652.201621678,146600.74457366,153190.99291046,0.0841265361527777,7921.7035380294
"6",5,99148.6024423617,105597.303980247,126444.371975481,147525.021398899,154156.829367335,0.0841266814194566,7486.39117738639
"7",5.1,99735.582285184,106222.476031447,127193.01109322,148398.511486269,155069.596560192,0.0841268326148475,7079.93844376499
"8",5.2,100290.688493495,106813.70211144,127901.004937597,149224.581962025,155932.81298557,0.0841269898575519,6700.08848743979
"9",5.3,100816.007040135,107373.203874062,128571.013786341,150006.336642631,156749.721993743,0.0841271532661732,6344.78211109337
"10",5.4,101313.462429197,107903.031002731,129205.49199745,150746.639095138,157523.315885719,0.0841273229593175,6012.13934342391
"11",5.5,101784.831749756,108405.076178204,129806.705931792,151448.133547726,158256.357763769,0.0841274990555928,5700.44271325329
"12",5.6,102231.757418073,108881.088649509,130376.750203118,152113.263848825,158951.401342806,0.0841276816736097,5408.12209457057
"13",5.7,102655.758731433,109332.686539232,130917.562412575,152744.290658068,159610.808914125,0.0841278709319816,5133.74099347813
"14",5.8,103058.242346704,109761.368003579,131430.936511922,153343.307037342,160236.767637301,0.0841280669493241,4875.98415169603
"15",5.9,103440.511786839,110168.521357171,131918.534927092,153912.25259551,160831.304320765,0.0841282698442557,4633.64634736296
"16",6,103803.776069217,110555.434262555,132381.899561828,154452.926326511,161396.298837003,0.0841284797353977,4405.62228156341
"17",6.1,104149.157540944,110923.302075096,132822.461789985,154966.998267511,161933.496304771,0.0841286967413744,4190.89744681318
"18",6.2,104477.698998122,111273.23542528,133241.551534666,155456.02009166,162444.51815803,0.084128920980813,3988.53988234157
"19",6.3,104790.370158624,111606.267112464,133640.4055229,155921.43473893,162930.872209714,0.0841291525723437,3797.69272886333
"20",6.4,105088.073551065,111923.358376852,134020.174795787,156364.585178314,163393.961807805,0.0841293916346003,3617.56750376138
"21",6.5,105371.649876445,112225.404609859,134381.931546163,156786.72238542,163835.094171554,0.0841296382862194,3447.43802464713
"22",6.6,105641.882893336,112513.240557011,134726.675348627,157189.012611127,164255.48798687,0.0841298926458415,3286.63491640385
"23",6.7,105899.503872326,112787.645062112,135055.338840268,157572.544009368,164656.280332046,0.0841301548321103,3134.54064325924
"24",6.8,106145.195660931,113049.345396519,135368.792904594,157938.332685295,165038.532997804,0.0841304249636733,2990.58501294523
"25",6.9,106379.596395958,113299.02121296,135667.851405888,158287.328218913,165403.238259229,0.0841307031591818,2854.24110582011
"26",7,106603.30289666,113537.308159371,135953.27551647,158620.418713754,165751.324151397,0.0841309895372906,2725.02158616466
"27",7.1,106816.873768655,113764.801184684,136225.777675087,158938.435415192,166083.659295292,0.0841312842166591,2602.47535764211
"28",7.2,107020.832245573,113982.057565301,136486.025210851,159242.156938538,166401.057315966,0.0841315873159502,2486.18452852039
"29",7.3,107215.668792753,114189.599678118,136734.643663703,159532.313143067,166704.280890716,0.0841318989538314,2375.76165603095
"30",7.4,107401.843494842,114387.917543423,136972.219829306,159809.588684541,166994.045461301,0.0841322192489743,2270.8472423011
"31",7.5,107579.788247061,114577.471158665,137199.304553536,160074.62627558,167271.022640873,0.0841325483200551,2171.10745706799
"32",7.6,107749.908767883,114758.692642045,137416.415299243,160328.029680334,167535.843343269,0.0841328862857546,2076.23206520773
"33",7.7,107912.586449213,114931.988203021,137624.038505764,160570.366467364,167789.100659643,0.0841332332647581,1985.93253894796
"34",7.8,108068.180058539,115097.739955166,137822.631759659,160802.170542264,168031.352504934,0.0841335893757559,1899.94033721596
"35",7.9,108217.027306153,115256.307585322,138012.62579338,161023.944479542,168263.12405457,0.0841339547374432,1818.00533585454
"36",8,108359.446289288,115408.029891656,138194.426326966,161236.161671341,168484.909989783,0.0841343294685204,1739.89439452358
"37",8.1,108495.73682388,115553.226202039,138368.415766418,161439.26830897,168697.176568213,0.0841347136876929,1665.39004725608
"38",8.2,108626.181673646,115692.197683065,138534.954771144,161633.685211651,168900.363534861,0.0841351075136716,1594.28930505877
"39",8.3,108751.047685274,115825.228549068,138694.383701649,161819.809515568,169094.885887068,0.0841355110651728,1526.40256020299
"40",8.4,108870.586837699,115952.587179641,138847.02395767,161998.016235078,169281.135505903,0.0841359244609186,1461.5525826544
"41",8.5,108985.037212674,116074.527153334,138993.179215935,162168.659706834,169459.482665207,0.0841363478196366,1399.57360031898
"42",8.6,109094.623893232,116191.28820455,139133.136575967,162332.074926598,169630.277428495,0.0841367812600604,1340.31045530981
"43",8.7,109199.55979598,116303.097109967,139267.167621498,162488.578787615,169793.850943004,0.0841372249009298,1283.61782954191
"44",8.8,109300.046442673,116410.168510298,139395.529404452,162638.471228637,169950.516639315,0.0841376788609906,1229.35953321925
"45",8.9,109396.274675995,116512.70567262,139518.465357774,162782.036298932,170100.571344248,0.0841381432589949,1177.40785078815
"46",9,109488.425324052,116610.901198094,139636.206142853,162919.543146985,170244.296313999,0.0841386182137014,1127.64293917397
"47",9.1,109576.669817683,116704.937679411,139748.97043677,163051.246938995,170381.958193927,0.0841391038438754,1079.95227373787
"48",9.2,109661.17076432,116794.98831199,139856.965664144,163177.389712722,170513.809910787,0.0841396002682889,1034.23013783206
"49",9.3,109742.082481832,116881.217462529,139960.388677927,163298.201171787,170640.091502736,0.0841401076057209,990.377152095898
