"","Age","lower99CI","lower95CI","median","upper95CI","upper99CI","sigma","Gradient1"
"1",4.5,46306.8853127119,48378.819550718,55260.8282810695,62565.3690981499,64944.5597576867,0.0654220081243431,2595.55606286551
"2",4.6,46524.3628869851,48606.03375144,55520.383887356,62859.2528881216,65249.6249172304,0.0654221754091885,2487.80131826963
"3",4.7,46732.8097588327,48823.8135007975,55769.164019183,63140.9379065625,65542.027728403,0.0654223501281756,2386.01924491864
"4",4.8,46932.7263978085,49032.6816670225,56007.7659436749,63411.1003884534,65822.4701473179,0.0654225324429668,2289.77920609053
"5",4.9,47124.5771872118,49233.1234175223,56236.7438642839,63670.3678130064,66091.6035203259,0.065422722515229,2198.68845592158
"6",5,47308.7935992469,49425.5895361015,56456.6127098761,63919.3231935829,66350.0330370628,0.0654229205066339,2112.38823475192
"7",5.1,47485.7770429832,49610.4993983445,56667.8515333513,64158.5089255373,66598.3217246091,0.0654231265788575,2030.55032241311
"8",5.2,47655.9014234889,49788.2436452492,56870.9065655926,64388.43024383,66836.9940365838,0.0654233408935813,1952.87398962028
"9",5.3,47819.515445499,49959.1865899651,57066.1939645546,64609.5583354851,67066.5390839549,0.0654235636124918,1879.08329622449
"10",5.4,47976.9446906838,50123.6683880016,57254.1022941771,64822.3331461609,67287.4135483328,0.0654237948972807,1808.92469224811
"11",5.5,48128.4934938897,50282.0069974162,57434.9947634019,65027.1659151159,67500.0443133313,0.0654240349096456,1742.16488385217
"12",5.6,48274.4466405533,50434.4999521728,57609.2112517871,65224.4414685641,67704.8308451289,0.0654242838112898,1678.58893152479
"13",5.7,48415.0709047487,50581.4259690043,57777.0701449396,65414.5202977112,67902.147349525,0.0654245417639227,1617.9985522366
"14",5.8,48550.6164449598,50723.0464056337,57938.8700001632,65597.7404445648,68092.3447294594,0.0654248089292598,1560.2106011031
"15",5.9,48681.318072619,50859.6065860698,58094.8910602735,65774.4192158415,68275.7523640929,0.0654250854690233,1505.0557113062
"16",6,48807.3964066751,50991.3370068325,58245.3966314042,65944.8547428897,68452.6797280468,0.0654253715449419,1452.37707380606
"17",6.1,48929.0589259038,51118.4544363449,58390.6343387848,66109.3274034527,68623.4178672304,0.0654256673187515,1402.02934072819
"18",6.2,49046.5009293256,51241.1629183224,58530.8372728576,66268.1011192771,68788.2407457926,0.0654259729521949,1353.87763841325
"19",6.3,49159.9064139187,51359.6546887558,58666.2250366989,66421.4245419806,68947.4064770821,0.0654262886070226,1307.79667779367
"20",6.4,49269.4488777836,51474.1110150109,58797.0047044783,66569.5321381973,69101.1584500581,0.0654266144449926,1263.66995134842
"21",6.5,49375.2920560155,51584.7029646252,58923.3716996131,66712.6451838059,69249.7263613236,0.0654269506278709,1221.38900718412
"22",6.6,49477.590595746,51691.5921105516,59045.5106003315,66850.9726759699,69393.3271618474,0.0654272973174315,1180.85279191473
"23",6.7,49576.4906761191,51794.9311788738,59163.595879523,66984.71217078,69532.1659264587,0.0654276546754573,1141.96705502138
"24",6.8,49672.1305783549,51894.8646443756,59277.7925850251,67114.05055346,69666.4366533406,0.0654280228637393,1104.64380823847
"25",6.9,49764.6412105111,51991.5292787806,59388.256965849,67239.1647473656,69796.3229999891,0.0654284020440779,1068.8008342337
"26",7,49854.1465910723,52085.0546559786,59495.1370492724,67360.2223673558,69921.9989614303,0.0654287923782825,1034.36123954962
"27",7.1,49940.7642950781,52175.5636181141,59598.5731732273,67477.3823225514,70043.6294958985,0.0654291940281722,1001.25304731409
"28",7.2,50024.6058661203,52263.1727060168,59698.6984779587,67590.7953729794,70161.371102648,0.0654296071555757,969.408825736318
"29",7.3,50105.7771972094,52347.992557109,59795.6393605324,67700.6046441569,70275.3723561046,0.0654300319223319,938.765348856468
"30",7.4,50184.3788832132,52430.1282736129,59889.515895418,67806.9461032667,70385.774400148,0.0654304684902898,909.263286396235
"31",7.5,50260.5065473047,52509.679763604,59980.4422240576,67909.9490002172,70492.7114059437,0.0654309170213095,880.846919899559
"32",7.6,50334.2511436241,52586.742057215,60068.5269160476,68009.7362765653,70596.3109964154,0.0654313776772616,853.46388265476
"33",7.7,50405.6992381466,52661.4056000701,60153.8733043131,68106.4249449936,70696.6946401521,0.0654318506200281,827.064921150595
"34",7.8,50474.9332695604,52733.7565258355,60236.5797964281,68200.1264417799,70793.978017281,0.0654323360115026,801.603676067753
"35",7.9,50542.0317917936,52803.8769095964,60316.7401640349,68290.9469544715,70888.2713596013,0.0654328340135905,777.036480981769
"36",8,50607.0696996714,52871.8450036113,60394.4438121331,68378.9877267686,70979.6797670622,0.0654333447882092,753.322177203081
"37",8.1,50670.1184390579,52937.735456856,60469.7760298534,68464.3453424448,71068.3035024782,0.0654338684972888,730.421943229885
"38",8.2,50731.2462027073,53001.6195196368,60542.8182241764,68547.1119899584,71154.2382662041,0.065434405302772,708.299137602517
"39",8.3,50790.5181129452,53063.5652344461,60613.6481379366,68627.3757092719,71237.5754523388,0.0654349553666147,686.91915388059
"40",8.4,50847.9963921984,53123.6376141217,60682.3400533247,68705.2206222523,71318.4023878878,0.0654355188507863,666.249286756865
"41",8.5,50903.7405223054,53181.8988082847,60748.9649820004,68780.7271479139,71396.80255619,0.0654360959172696,646.258608304925
"42",8.6,50957.8073934561,53238.4082589435,60813.5908428309,68853.9722036487,71472.8558058006,0.065436686728062,626.91785350813
"43",8.7,51010.251443539,53293.2228460761,60876.2826281817,68925.0293934978,71546.6385459217,0.0654372914451751,608.199314290468
"44",8.8,51061.12478861,53346.3970239351,60937.1025596107,68993.9691844251,71618.2239293788,0.0654379102306351,590.07674131688
"45",8.9,51110.4773451303,53397.9829487558,60996.1102337424,69060.8590714722,71687.6820240559,0.0654385432464835,572.525252947526
"46",9,51158.3569445761,53448.0305984934,61053.3627590372,69125.7637326066,71755.0799736321,0.0654391906547772,555.521250726233
"47",9.1,51204.8094409661,53496.5878851613,61108.9148841098,69188.7451740003,71820.4821483847,0.0654398526175891,539.042340900414
"48",9.2,51249.8788118129,53543.7007602995,61162.8191181998,69249.8628664244,71883.9502867699,0.0654405292970082,523.067261475953
"49",9.3,51293.6072529608,53589.4133140556,61215.1258443474,69309.1738733837,71945.5436284304,0.0654412208551398,507.57581435777
"50",9.4,51336.0352677386,53633.7678683263,61265.8834257832,69366.73297157,72005.3190392286,0.0654419274541063,492.548802194869
"51",9.5,51377.2017508188,53676.8050643688,61315.1383060027,69422.5927641629,72063.3311288562,0.0654426492560475,477.967969534438
"52",9.6,51417.1440671464,53718.5639452612,61362.9351029561,69476.8037874708,72119.63236153,0.0654433864231207,463.815947983821
"53",9.7,51455.8981262727,53759.0820335614,61409.3166977545,69529.4146113613,72174.2731602416,0.0654441391175013,450.076205048899
"54",9.8,51493.4984524008,53798.3954044875,61454.3243182594,69580.4719338999,72227.3020049945,0.0654449075013829,436.732996377104
"55",9.9,51529.9782504303,53836.538754917,61497.9976178971,69630.0206705817,72278.7655254295,0.0654456917369782,423.771321151362
"56",10,51565.3694682633,53873.5454684803,61540.3747500122,69678.1040385134,72328.7085882069,0.065446491986519,411.176880400672
"57",10.1,51599.7028556175,53909.4476770059,61581.4924380523,69724.763635874,72377.1743794899,0.0654473084122565,398.936037998719
"58",10.2,51633.008019571,53944.2763185495,61621.3860418522,69770.0395169615,72424.2044828443,0.0654481411764622,387.035784179534
"59",10.3,51665.3134770492,53978.0611922301,61660.0896202701,69813.9702631077,72469.83895285,0.0654489904414277,375.463701363842
"60",10.4,51696.6467044489,54010.8310100738,61697.6359904065,69856.5930497244,72514.1163846969,0.0654498563694655,364.20793213365
"61",10.5,51727.0341845784,54042.6134460543,61734.0567836199,69897.9437097237,72557.0739800171,0.0654507391229094,353.257149222336
"62",10.6,51756.5014510821,54073.4351825056,61769.3824985421,69938.0567935408,72598.7476091893,0.0654516388641146,342.600527337127
"63",10.7,51785.0731305056,54103.321954068,61803.6425512758,69976.9656259661,72639.1718703332,0.0654525557554585,332.227716746347
"64",10.8,51812.7729821456,54132.2985893227,61836.8653229505,70014.7023599878,72678.3801451983,0.0654534899593408,322.12881843574
"65",10.9,51839.6239358193,54160.3890502492,61869.078204794,70051.2980278208,72716.4046521342,0.0654544416381844,312.294360786764
"66",11,51865.6481276788,54187.6164696437,61900.3076408727,70086.7825892957,72753.2764963192,0.0654554109544352,302.715277652023
"67",11.1,51890.8669341885,54214.0031866158,61930.5791686379,70121.1849777652,72789.0257174127,0.0654563980705629,293.382887705229
"68",11.2,51915.3010043721,54239.5707802786,61959.9174574084,70154.5331436734,72823.6813347806,0.0654574031490615,284.288875038255
"69",11.3,51938.9702904338,54264.3401017401,61988.3463449123,70186.854095927,72857.2713904407,0.0654584263524496,275.425270864143
"70",11.4,51961.8940768459,54288.3313044919,62015.8888719987,70218.1739411963,72889.8229898573,0.0654594678432708,266.784436298331
"71",11.5,51984.0910079938,54311.5638732915,62042.5673156285,70248.5179212659,72921.3623407126,0.0654605277840942,258.359046113837
"72",11.6,52005.5791144595,54334.0566516213,62068.4032202399,70277.9104485457,72951.9147897684,0.0654616063375151,250.142073416282
"73",11.7,52026.3758380211,54355.8278678075,62093.4174275815,70306.3751398489,72981.5048579277,0.0654627036661551,242.126775212309
"74",11.8,52046.4980554433,54376.8951598739,62117.6301051028,70333.9348485337,73010.1562735996,0.0654638199326626,234.306678748471
"75",11.9,52065.9621011222,54397.2755992008,62141.0607729776,70360.6116950995,73037.8920044584,0.0654649552997135,226.675568646824
