"","Age","lower99CI","lower95CI","median","upper95CI","upper99CI","sigma","Gradient1"
"1",4.5,4.79114775805574,5.00568991075972,5.71832362254787,6.47474288184298,6.72112496056367,0.0654685250122777,2685.84998746774
"2",4.6,4.81364910096737,5.02919945011136,5.74518212242255,6.50515622522741,6.75269621414847,0.0654686924160674,2574.34668151262
"3",4.7,4.83521608100744,5.05173281968031,5.77092558923767,6.53430714650612,6.78295703895684,0.0654688672592845,2469.02382345688
"4",4.8,4.8559004793199,5.07334411992185,5.79561582747224,6.5622656276479,6.81198008056338,0.0654690497037067,2369.43579563485
"5",4.9,4.87575034337979,5.09408355043878,5.81931018542859,6.58909660500167,6.83983274692868,0.0654692399111157,2275.17618938029
"6",5,4.89481031551151,5.11399775320981,5.84206194732239,6.6148604132501,6.866577669246,0.065469438043298,2185.87376454067
"7",5.1,4.91312192755337,5.13313012044829,5.8639206849678,6.63961318361386,6.89227311529775,0.0654696442620448,2101.18888285564
"8",5.2,4.93072386563871,5.15152107123942,5.88493257379636,6.66340720167186,6.91697336089132,0.0654698587291524,2020.81035330404
"9",5.3,4.9476522085452,5.16920830056215,5.9051406773294,6.68629122946218,6.94072902421644,0.0654700816064222,1944.45263635746
"10",5.4,4.96394064261966,5.18622700383763,5.92458520369297,6.70831079592742,6.96358736734237,0.0654703130556611,1871.85336157003
"11",5.5,4.97962065590359,5.20261007974716,5.94330373730867,6.72950845925245,6.98559256853799,0.0654705532386816,1802.77111930016
"12",5.6,4.9947217137563,5.21838831371918,5.96133144850167,6.74992404419826,7.00678596863656,0.0654708023173019,1736.98349274018
"13",5.7,5.00927141798921,5.23359054418914,5.97870128342908,6.76959485715307,7.02720629426986,0.0654710604533463,1674.28530101555
"14",5.8,5.02329565127957,5.24824381347958,5.99544413643923,6.78855588129042,7.04688986045223,0.0654713278086455,1614.48702801325
"15",5.9,5.03681870841999,5.26237350492669,6.01158900671936,6.80683995393736,7.06587075469804,0.0654716045450365,1557.41341500237
"16",6,5.04986341577599,5.27600346768676,6.02716314086939,6.82447792800718,7.08418100459702,0.0654718908243632,1502.90219788316
"17",6.1,5.06245124016339,5.28915613048884,6.04219216284822,6.84149881913434,7.10185073054797,0.0654721868084763,1450.8029724373
"18",6.2,5.07460238821809,5.3018526054539,6.05670019257259,6.85792993996095,7.11890828515502,0.0654724926592337,1400.97617303516
"19",6.3,5.08633589720874,5.31411278297393,6.07070995430294,6.87379702285933,7.13538038061997,0.0654728085385008,1353.29215206286
"20",6.4,5.09766971813629,5.32595541853238,6.08424287582357,6.88912433223127,7.15129220531468,0.0654731346081508,1307.63034894975
"21",6.5,5.10862079187113,5.33739821225046,6.09731917931307,6.90393476739831,7.16666753058649,0.0654734710300645,1263.87853898981
"22",6.6,5.11920511899627,5.34845788185781,6.10995796470297,6.91824995698661,7.18152880873459,0.0654738179661312,1221.93215336149
"23",6.7,5.12943782395336,5.35915022971067,6.12217728623658,6.93209034561265,7.1958972629942,0.0654741755782486,1181.69366276787
"24",6.8,5.13933321402437,5.36949020441461,6.13399422286426,6.94547527358998,7.20979297027631,0.0654745440283228,1143.07201801945
"25",6.9,5.14890483362603,5.37949195755016,6.14542494304446,6.95842305030182,7.22323493733223,0.0654749234782693,1105.9821416124
